21861,1.233834012,-0.881065486,0
29717,1.64210707,0.525387373,0
33865,1.844421382,-0.199896226,0
41331,2.213398954,-0.552793494,0
46106,2.467972809,-0.442215749,0
47693,2.552262994,-0.40988141,0
47788,2.556953172,0.800587621,0
52811,2.835943511,-0.594427427,0
56833,3.059391123,-0.309016525,0
68814,3.699668145,-0.369928255,0
81506,4.371728958,-1.311088362,0
86129,4.621729764,0.805556351,0
92237,4.936582946,-0.724801127,0
93771,5.013374131,-0.058314695,0
95481,5.100045851,-0.288283527,0
100647,5.359786743,0.902128353,0
106141,5.646239944,-0.813510655,0
109598,5.829467846,0.786953706,0
13840,0.779731431,-0.048570363,0.001
18732,1.053379484,0.481967968,0.001
24307,1.368528674,-0.544817135,0.001
24587,1.384534934,-1.268868005,0.001
41185,2.206196189,-0.156312734,0.001
44097,2.358228767,-0.704358434,0.001
46955,2.512352855,-0.945423638,0.001
60166,3.239790172,0.451100595,0.001
64272,3.459776119,0.598326319,0.001
64449,3.469585901,0.330197173,0.001
75657,4.057909128,-0.922362419,0.001
81655,4.379874524,-0.665953868,0.001
83614,4.487745016,-0.523345634,0.001
87838,4.711061553,0.099643668,0.001
89344,4.788317018,-0.500072868,0.001
98186,5.238728415,0.521654054,0.001
100917,5.372618927,0.859056245,0.001
100987,5.376084014,0.627776681,0.001
106432,5.662206832,1.004618643,0.001
107347,5.711184504,-0.982166731,0.001
29235,1.617676324,0.59795715,0.002
31818,1.745675831,-0.478189442,0.002
32149,1.761710045,0.392098672,0.002
36991,1.995726852,-0.3222904,0.002
38725,2.080881488,0.716694437,0.002
46230,2.474838957,-0.242622555,0.002
75092,4.028874391,0.245134652,0.002
75419,4.046132069,-0.031939122,0.002
77216,4.139911226,-0.94938327,0.002
77355,4.14725317,0.903581646,0.002
80356,4.308343513,-0.061811888,0.002
90254,4.836233786,0.111943535,0.002
93750,5.012503127,-0.437716826,0.002
98535,5.255316781,0.736501097,0.002
102595,5.459243557,0.968461303,0.002
110276,5.866993027,0.720936845,0.002
112097,5.963617298,1.338179147,0.002
112372,5.976754733,0.975687513,0.002
7588,0.427259497,-0.904626392,0.003
9797,0.551245958,-0.269588178,0.003
11577,0.65288014,1.05866914,0.003
17619,0.990269121,1.029059451,0.003
24207,1.363471825,-0.442880889,0.003
24358,1.371484031,0.200506595,0.003
32476,1.77875068,0.851537002,0.003
34223,1.862441533,-0.047960592,0.003
34231,1.862674455,1.09165443,0.003
42519,2.274740493,-0.33466457,0.003
43436,2.322503203,-0.232925583,0.003
50777,2.722563088,-0.027187964,0.003
51023,2.73621992,0.182319528,0.003
54656,2.937829196,0.182339399,0.003
62665,3.373182545,-0.991386523,0.003
85576,4.591963752,0.251044695,0.003
88125,4.725668037,-0.758569334,0.003
99508,5.302688209,0.798331679,0.003
99533,5.30361869,0.414375882,0.003
1930,0.106411441,0.994061159,0.004
6282,0.352599236,1.13593163,0.004
16595,0.933916262,0.68602346,0.004
20200,1.136007013,0.477360703,0.004
27802,1.544037748,0.885495977,0.004
30128,1.663479065,0.368830564,0.004
37122,2.001819898,-0.782430553,0.004
38805,2.085023501,-1.389852125,0.004
43286,2.31488352,-0.483628019,0.004
44394,2.3748046,-0.712721172,0.004
54469,2.927277557,-0.640950524,0.004
54953,2.954241316,-1.455490165,0.004
55509,2.986445521,-1.007540779,0.004
64123,3.451878764,-0.945385927,0.004
69298,3.725732733,0.67753465,0.004
81461,4.369426998,-0.809583424,0.004
95392,5.095483303,0.065728106,0.004
107182,5.70125583,-1.179778713,0.004
15,0.000878643,0.886473445,0.005
6318,0.354730883,0.121663486,0.005
22027,1.243389665,1.045054872,0.005
32358,1.772702385,-0.515938352,0.005
35078,1.903024957,-0.525915283,0.005
96264,5.139555108,0.431321176,0.005
110728,5.891096099,0.544818332,0.005
5860,0.328970974,-1.102134041,0.006
20446,1.150158261,0.740506709,0.006
31027,1.708684083,-0.093702112,0.006
34013,1.851144479,1.316175031,0.006
44246,2.36606338,-0.520435626,0.006
56303,3.031201325,0.59039413,0.006
75921,4.072089057,-1.283581644,0.006
91586,4.903330938,0.182651827,0.006
103215,5.492223536,0.77518064,0.006
107379,5.71285687,0.669294342,0.006
112826,6.000563558,0.153871122,0.006
117719,6.271145732,0.272444415,0.006
4303,0.240881898,0.785270017,0.007
10009,0.563511869,0.891397979,0.007
16769,0.944071466,0.975409299,0.007
24090,1.357668314,-0.940519809,0.007
36253,1.959017552,1.294130215,0.007
36941,1.993105325,-0.254147894,0.007
